area,rooms,rent,distance,left_fast
1472.2,4,63643.0,6.7,0
986.4,3,53325.0,19.51,0
1595.0,4,53314.0,19.41,1
1361.2,4,51569.0,9.77,1
486.6,1,17529.0,20.96,0
1764.7,4,38770.0,5.72,1
1453.7,3,38898.0,0.61,1
1489.8,4,55901.0,14.49,0
535.8,1,10980.0,24.85,1
1003.1,2,52627.0,1.45,0
887.7,2,20046.0,5.6,1
1693.8,4,42896.0,13.21,0
1283.6,4,59452.0,20.34,0
1543.0,4,33308.0,2.68,1
993.0,2,50951.0,10.18,0
679.5,2,30476.0,18.8,0
1154.1,3,23704.0,9.6,1
442.5,1,19292.0,5.13,0
1550.1,3,64128.0,5.29,1
1265.9,3,58259.0,10.55,0
1449.2,3,70494.0,12.25,0
864.1,1,38521.0,21.61,0
1757.5,4,69753.0,16.24,0
1645.0,4,49237.0,17.41,1
1478.7,2,64766.0,24.58,0
632.2,1,33765.0,10.59,0
1026.7,3,40799.0,10.38,1
413.5,1,17607.0,23.12,0
573.7,2,19605.0,6.52,1
1340.4,3,61627.0,18.38,0
1429.9,3,78521.0,18.99,0
1752.9,3,41955.0,2.9,1
822.4,2,20962.0,11.97,0
887.2,2,33677.0,5.41,1
1030.9,3,36917.0,5.04,1
624.7,2,24456.0,11.86,0
538.4,1,10669.0,7.59,1
1039.8,2,34270.0,20.0,1
679.0,1,26868.0,22.74,1
1321.2,3,52388.0,20.17,0
983.9,2,41640.0,7.02,1
1557.4,3,69535.0,7.22,0
1365.4,3,56988.0,6.74,0
802.9,2,37928.0,3.81,0
1556.8,3,64010.0,23.62,0
1516.9,4,57472.0,10.35,1
911.8,2,36863.0,6.0,1
768.1,2,16702.0,21.24,1
1339.6,3,37652.0,10.28,1
552.6,1,20730.0,1.36,1
639.9,1,32187.0,4.47,0
360.7,2,15555.0,16.16,0
1491.0,3,31826.0,19.68,1
1314.0,2,52447.0,5.67,1
1372.5,2,35965.0,22.98,1
1482.1,3,66930.0,21.35,0
1015.4,2,49364.0,21.29,0
1174.7,3,46939.0,6.08,0
552.7,2,22042.0,1.74,0
516.1,1,15755.0,21.75,0
1319.2,3,45527.0,7.99,0
1033.1,3,51626.0,15.66,0
1169.6,2,52355.0,19.12,0
1459.2,3,54327.0,3.64,0
1270.3,2,40173.0,19.63,1
1152.7,2,22897.0,23.49,0
1160.9,2,27039.0,18.35,1
790.7,2,19880.0,11.31,1
394.7,2,12557.0,21.98,0
983.2,2,52044.0,13.42,0
661.1,2,24256.0,18.75,0
942.4,2,25152.0,20.6,1
1587.4,4,34784.0,18.86,1
689.2,1,21033.0,7.55,1
434.5,1,20935.0,3.39,0
758.0,2,24395.0,6.34,1
775.7,3,36134.0,12.82,0
1309.8,3,62478.0,12.88,0
1157.7,2,25586.0,14.77,1
1486.7,4,60242.0,10.18,0
1313.3,3,70244.0,19.78,0
939.3,2,30883.0,22.87,1
1530.3,4,30430.0,6.54,1
592.1,1,30885.0,18.54,0
382.9,1,19411.0,17.11,0
480.6,1,17936.0,13.32,1
1397.4,3,53707.0,5.12,0
1019.7,2,26343.0,19.98,1
583.8,1,28209.0,24.04,0
1076.5,3,39236.0,18.18,0
570.9,1,10992.0,22.99,0
1359.7,2,58836.0,24.61,0
996.9,2,53004.0,9.13,0
902.5,2,43932.0,16.14,1
787.2,1,22243.0,12.11,1
1263.9,3,25244.0,24.67,1
874.6,1,46173.0,2.8,0
477.1,1,25129.0,10.6,0
521.1,1,19645.0,21.95,0
1744.8,4,72873.0,7.46,0
1667.4,4,58553.0,19.8,1
1364.6,3,45757.0,9.88,0
735.5,2,16490.0,24.51,1
1755.3,4,37879.0,22.15,1
1479.2,2,39363.0,7.88,1
1389.5,2,68024.0,19.37,0
1001.6,2,23433.0,8.75,1
744.8,2,19654.0,15.36,1
489.8,1,18759.0,16.63,0
1658.8,4,43062.0,20.83,1
1010.9,2,24301.0,1.1,1
643.4,2,24991.0,5.89,1
793.6,1,25093.0,17.94,1
1189.9,2,48986.0,14.31,1
606.3,1,31377.0,12.64,0
1592.1,4,37552.0,1.85,1
1449.9,4,75101.0,9.03,0
1393.2,3,71600.0,21.69,0
976.5,1,47532.0,1.26,0
1259.6,2,52094.0,10.21,0
1196.9,2,49008.0,23.66,1
1292.3,3,53825.0,1.75,1
472.4,1,20572.0,18.87,0
952.9,2,17733.0,6.81,1
410.3,1,21930.0,21.73,0
1066.3,3,42297.0,18.78,0
828.3,2,38859.0,22.2,0
559.6,1,17884.0,5.79,0
499.9,1,9228.0,13.52,1
1202.1,2,44310.0,19.59,0
597.4,2,21964.0,6.52,1
1691.4,4,57793.0,6.15,0
1192.5,3,36454.0,1.17,1
853.0,3,23239.0,23.98,0
1206.8,2,45278.0,17.9,0
383.1,2,12215.0,16.07,0
1739.9,4,93759.0,18.73,0
1049.3,2,25601.0,13.52,1
1485.0,3,44294.0,12.17,0
470.0,1,13572.0,11.51,1
1055.7,2,40225.0,16.19,0
1061.5,3,38716.0,5.44,1
1709.8,4,71501.0,22.26,0
1179.0,2,62664.0,20.39,0
1036.6,3,29598.0,9.06,1
737.1,2,32162.0,14.68,0
830.8,3,15724.0,3.96,1
1105.0,3,30618.0,24.32,0
986.4,3,34679.0,22.62,0
381.3,1,7301.0,23.09,1
1548.1,3,63246.0,8.64,0
1649.4,3,71085.0,4.64,0
553.4,1,25251.0,5.69,0
1153.4,2,42806.0,2.71,1
507.4,1,20472.0,3.44,1
1324.7,4,43257.0,2.25,1
757.8,2,14797.0,24.75,1
1306.2,3,28342.0,2.31,1
1404.1,3,59302.0,3.75,1
1464.5,3,80307.0,20.77,0
506.2,1,9408.0,14.72,0
1678.2,4,64830.0,19.47,0
683.8,2,31309.0,15.96,1
404.2,2,19640.0,22.11,0
1154.5,3,44070.0,16.14,0
887.8,2,36344.0,13.29,0
1553.2,3,67997.0,17.96,0
1522.0,3,75768.0,11.46,1
809.9,2,18243.0,8.98,1
1731.7,4,90514.0,11.96,1
771.8,2,14635.0,4.66,1
1096.8,3,53677.0,20.02,0
721.1,2,15027.0,6.89,1
1707.3,4,43026.0,4.26,1
588.7,1,10681.0,6.54,1
415.1,1,14310.0,21.13,1
980.9,2,29791.0,8.59,1
1788.9,3,43187.0,17.31,0
1642.9,4,56993.0,21.48,0
1435.5,1,47210.0,2.4,1
1641.6,3,76176.0,19.24,0
1645.5,4,83996.0,8.04,0
1102.3,3,46456.0,5.81,1
808.1,1,18266.0,17.38,1
1469.4,3,42509.0,22.79,1
1309.4,4,67817.0,7.73,1
891.8,2,18980.0,14.44,1
487.0,2,16097.0,7.6,1
1432.8,3,75756.0,14.08,0
730.6,2,38849.0,15.74,0
1708.4,5,56744.0,15.45,1
699.4,2,29860.0,15.78,1
528.0,1,18427.0,3.81,1
1555.1,3,71345.0,17.49,1
572.3,1,10970.0,17.03,0
609.9,1,14231.0,17.22,0
1219.1,3,49648.0,2.31,1
1618.1,3,43049.0,11.45,1
634.8,2,27070.0,10.52,0
800.0,2,24796.0,2.62,1
1477.2,3,75050.0,5.95,0
1759.1,4,84987.0,11.3,0
1076.1,3,38992.0,18.7,0
558.7,2,26034.0,6.31,0
370.2,1,10377.0,20.83,1
683.0,1,24784.0,13.87,0
541.1,2,13694.0,19.13,1
1332.6,3,66434.0,12.08,0
526.7,1,25520.0,12.73,0
1084.2,3,55706.0,15.68,0
1356.7,3,68468.0,23.24,0
1192.6,2,63810.0,12.55,0
639.7,2,16919.0,13.45,1
