package_weight_kg,item_price,center_load_percent,carrier_rating,prior_return_count,shipping_method,is_gift_order,is_returned
0.53,775.11,91.5,3.4,2,0,1,1
0.72,896.89,49.1,4.3,0,0,1,0
2.76,1049.03,85.6,3.1,3,1,1,0
1.01,1569.38,52.7,4.2,1,1,0,0
3.15,1251.085,68.3,4.8,2,0,1,1
1.56,2019.31,84.5,4.9,0,1,0,1
3.54,3414.14,45.9,3.7,1,1,0,1
3.07,879.25,60.4,3.2,2,1,1,0
0.64,1073.65,47.7,3.1,0,0,0,1
2.27,908.48,76.3,4.1,3,0,1,0
1.5,284.05,54.1,3.2,1,2,1,1
1.49,3182.0,70.5,4.0,0,0,1,0
0.53,1791.47,55.5,3.8,0,0,0,0
0.75,662.47,90.4,4.6,1,2,0,0
1.53,2266.34,42.1,4.8,2,0,1,1
3.18,1754.11,85.4,3.6,2,0,0,1
1.44,1663.59,92.4,3.8,2,0,0,0
1.44,708.73,70.5,4.0,0,2,1,0
1.53,4140.68,56.0,3.7,1,0,0,1
1.06,1251.085,77.0,4.0,2,2,1,0
1.67,1251.085,46.0,4.8,1,1,0,0
1.53,469.8,57.4,4.9,0,0,1,1
1.58,1581.92,82.3,4.0,2,0,0,1
3.24,1428.52,80.0,4.7,0,1,0,1
2.48,1057.53,89.3,3.2,0,0,1,1
