YearsExperience,EducationLevel,Salary
17.2,PhD,66737
9.2,Master,79258
18.6,PhD,70347
12.2,Bachelor,111435
13.0,Master,94595
17.1,Master,94970
6.6,Bachelor,61065
7.7,Bachelor,69080
18.2,Bachelor,45629
18.1,Bachelor,48057
19.6,Bachelor,59903
18.1,Bachelor,61601
,PhD,85466
16.7,Master,120000
8.8,Master,47981
,Master,117088
10.0,,56332
11.5,PhD,103370
11.1,PhD,101442
7.1,Master,107789
2.4,Bachelor,46453
18.0,Master,65295
16.3,Bachelor,53098
3.7,Master,68583
15.8,Bachelor,107762
12.9,Bachelor,105204
8.8,,89426
5.8,Master,87175
,Master,111080
14.3,PhD,79042
11.4,Bachelor,43992
12.6,Bachelor,119037
2.7,Bachelor,55866
10.0,Master,46970
4.7,PhD,45534
5.0,Master,87546
13.6,Bachelor,101405
,Bachelor,67792
8.7,PhD,100166
4.9,Master,104690
13.3,Master,116327
,Master,93112
,PhD,113633
17.5,Bachelor,103842
11.2,PhD,68084
15.3,PhD,73590
3.7,Bachelor,77757
7.6,PhD,43123
8.4,Bachelor,63685
10.7,Bachelor,84616
18.7,,61167
17.6,,49693
3.6,Bachelor,76833
4.3,PhD,99002
,PhD,116039
6.5,Bachelor,83299
12.7,PhD,95794
18.2,PhD,80291
19.3,PhD,70135
13.4,PhD,53671
16.9,Bachelor,108480
11.0,Bachelor,83581
5.0,PhD,102559
11.0,PhD,102728
,Master,65720
15.1,Bachelor,83717
5.2,Master,74322
8.0,Bachelor,85324
7.9,Master,81416
19.2,Master,120000
,PhD,107310
15.3,Master,113702
15.3,PhD,53669
6.0,PhD,54999
11.9,PhD,55380
18.0,Master,56682
10.0,Bachelor,80866
19.0,Master,94961
5.1,Bachelor,72202
2.4,Bachelor,120000
17.9,PhD,120000
17.1,,59348
19.9,Bachelor,120000
13.9,Bachelor,83945
18.8,Bachelor,77913
16.7,PhD,109930
17.0,Bachelor,49159
11.8,Bachelor,111637
8.3,PhD,92870
18.8,,113810
9.2,PhD,120000
11.2,,87960
9.5,PhD,50795
11.7,Master,53191
,Bachelor,66832
1.9,PhD,43434
17.8,Master,112700
,PhD,74296
12.2,Bachelor,120000
,Bachelor,91771
1.1,Master,60223
5.7,Bachelor,76257
14.4,Bachelor,76028
2.9,PhD,77626
18.3,Master,90548
5.1,Bachelor,40000
4.9,PhD,96339
4.4,PhD,81093
1.3,Master,101467
15.7,Bachelor,105875
17.6,Bachelor,51577
12.7,Bachelor,48118
4.6,PhD,100977
6.4,Bachelor,116154
10.0,Bachelor,80534
19.1,PhD,76483
5.7,Bachelor,54361
14.9,Master,75616
9.3,Master,81714
,PhD,91572
9.7,PhD,92401
2.4,Bachelor,56657
16.2,PhD,49715
5.6,PhD,75185
14.8,Master,120000
2.3,PhD,86694
,Bachelor,116896
,Master,80141
17.8,Master,68701
16.4,Bachelor,52939
19.4,Bachelor,101450
,Master,81498
14.8,Master,86006
,Bachelor,98075
4.5,Master,102977
9.4,Bachelor,48309
4.1,Bachelor,105919
19.7,Bachelor,93484
2.8,Bachelor,76604
12.2,Bachelor,87683
,,94698
11.2,PhD,58968
13.6,Master,78235
3.2,,59935
11.5,Master,78660
6.5,Bachelor,51244
18.9,PhD,55375
15.5,Bachelor,64735
19.5,PhD,75758
1.7,Master,113030
6.4,PhD,66520
4.7,Master,77306
1.2,Bachelor,71965
5.6,PhD,105910
13.9,Bachelor,56635
5.4,Master,54954
10.7,Master,68149
17.9,Master,114981
14.2,Master,85921
8.5,PhD,58156
8.1,Master,63703
9.7,PhD,58962
4.4,Bachelor,51496
13.0,Bachelor,101720
7.9,PhD,79450
17.2,PhD,99817
15.4,Bachelor,67788
12.6,Bachelor,94780
7.9,PhD,65015
5.0,Bachelor,69736
15.7,Master,100603
10.2,PhD,55082
5.3,Master,82566
4.7,Master,117013
4.1,Master,47469
15.8,PhD,117518
5.4,Bachelor,47221
,PhD,73957
9.6,Bachelor,96530
,Master,89882
17.7,Bachelor,52384
,PhD,117255
9.6,PhD,120000
1.3,Bachelor,51210
9.1,Master,110104
12.5,Master,85676
11.6,,118108
13.4,PhD,54876
3.9,PhD,107985
13.3,Master,49626
4.5,Master,100793
15.3,Master,92991
7.4,Master,58911
14.5,Master,59367
1.9,Bachelor,111262
8.7,PhD,84416
14.4,Bachelor,66541
5.3,Master,77778
16.1,PhD,108634
,Master,67170
12.2,Bachelor,53538
7.7,PhD,115738
10.2,Bachelor,66613
12.3,Bachelor,61122
10.0,Master,71894
14.3,Master,120000
,Bachelor,57902
4.8,Bachelor,92813
5.1,Master,111048
1.1,Bachelor,45675
6.7,Bachelor,104042
15.2,Master,76192
16.1,Master,101244
,Bachelor,78501
19.2,Master,106608
10.5,Bachelor,69663
18.4,Master,47212
14.4,Bachelor,117027
14.7,Master,40000
2.6,PhD,110068
5.2,Bachelor,56986
1.2,Master,71737
14.6,Bachelor,106295
7.5,PhD,67941
15.9,Master,118685
7.4,Bachelor,88604
16.6,PhD,72504
3.5,Master,92003
4.3,PhD,77617
7.5,Master,71296
8.8,Master,99976
7.6,PhD,67569
,Bachelor,60656
2.8,PhD,113466
7.7,,107437
16.9,Bachelor,88829
2.3,PhD,88159
18.9,Bachelor,96964
19.7,Bachelor,82256
2.7,Bachelor,71921
,Bachelor,114857
8.1,Master,53170
15.8,PhD,102725
12.3,PhD,117402
13.2,Bachelor,95104
15.4,PhD,120000
3.2,PhD,66213
16.8,Bachelor,61990
14.4,PhD,120000
12.0,PhD,81435
17.9,Master,102994
14.3,Master,61769
4.8,Bachelor,103410
9.2,Master,82247
10.4,PhD,55621
2.0,Bachelor,77323
19.1,Bachelor,106910
3.4,Bachelor,40000
14.3,Bachelor,97587
10.6,PhD,90429
1.5,Master,51105
18.6,Master,105286
17.2,Master,72731
,PhD,64513
,PhD,80474
,PhD,100040
7.9,,117040
5.9,Bachelor,58313
10.6,Bachelor,76815
19.4,Master,47899
,PhD,104866
17.9,PhD,84290
13.4,PhD,110266
10.0,Master,67907
17.2,Bachelor,104042
10.0,PhD,90989
17.5,Bachelor,116960
6.5,PhD,44828
3.4,Bachelor,82256
17.3,Master,112870
12.2,Bachelor,88802
17.9,PhD,52708
18.8,Master,120000
2.0,PhD,71420
10.5,PhD,62430
8.1,Master,77177
,Bachelor,82318
,PhD,113087
6.3,Bachelor,76688
11.6,Bachelor,73891
14.5,PhD,100810
3.6,Bachelor,67249
16.5,,120000
12.5,Bachelor,119448
19.0,Master,84146
7.5,Bachelor,40000
3.1,Master,110765
10.6,Master,53316
2.6,Bachelor,65745
19.4,PhD,55009
1.7,PhD,48701
15.3,PhD,113630
11.0,,95568
8.0,PhD,120000
2.3,PhD,55294
12.8,Bachelor,82016
12.1,PhD,120000
6.3,Bachelor,108609
18.3,PhD,105802
6.8,Bachelor,61107
9.5,Bachelor,101405
11.3,Bachelor,75452
2.9,Bachelor,77045
18.7,Master,88245
8.1,Bachelor,89811
2.5,Master,87555
8.4,Master,97379
12.4,PhD,43526
10.8,,84239
14.2,Master,99809
2.1,,63969
6.4,PhD,72146
16.6,Bachelor,55966
2.5,Bachelor,72774
17.3,PhD,120000
2.7,,67102
16.9,Master,92944
7.9,Bachelor,107194
12.6,Bachelor,48200
3.9,Bachelor,120000
2.3,Bachelor,72444
5.1,Bachelor,111024
3.4,PhD,43887
6.9,Bachelor,52441
10.8,PhD,68386
